timestamp,topic,soil2
1.75E+12,sensor/soil,747
1.75E+12,sensor/soil,787
1.75E+12,sensor/soil,784
1.75E+12,sensor/soil,830
1.75E+12,sensor/soil,863
1.75E+12,sensor/soil,854
1.75E+12,sensor/soil,898
1.75E+12,sensor/soil,981
1.75E+12,sensor/soil,895
1.75E+12,sensor/soil,958
1.75E+12,sensor/soil,913
1.75E+12,sensor/soil,897
1.75E+12,sensor/soil,863
1.75E+12,sensor/soil,916
1.75E+12,sensor/soil,913
1.75E+12,sensor/soil,869
1.75E+12,sensor/soil,902
1.75E+12,sensor/soil,919
1.75E+12,sensor/soil,906
1.75E+12,sensor/soil,931
1.75E+12,sensor/soil,1055
1.75E+12,sensor/soil,878
1.75E+12,sensor/soil,951
1.75E+12,sensor/soil,909
1.75E+12,sensor/soil,991
1.75E+12,sensor/soil,966
1.75E+12,sensor/soil,955
1.75E+12,sensor/soil,974
1.75E+12,sensor/soil,1045
1.75E+12,sensor/soil,1067
1.75E+12,sensor/soil,987
1.75E+12,sensor/soil,901
1.75E+12,sensor/soil,1022
1.75E+12,sensor/soil,999
1.75E+12,sensor/soil,955
1.75E+12,sensor/soil,985
1.75E+12,sensor/soil,918
1.75E+12,sensor/soil,1043
1.75E+12,sensor/soil,1002
1.75E+12,sensor/soil,1037
1.75E+12,sensor/soil,960
1.75E+12,sensor/soil,1021
1.75E+12,sensor/soil,1014
1.75E+12,sensor/soil,981
1.75E+12,sensor/soil,1003
1.75E+12,sensor/soil,1003
1.75E+12,sensor/soil,722
1.75E+12,sensor/soil,893
1.75E+12,sensor/soil,1046
1.75E+12,sensor/soil,993
1.75E+12,sensor/soil,1043
1.75E+12,sensor/soil,1063
1.75E+12,sensor/soil,1008
1.75E+12,sensor/soil,1023
1.75E+12,sensor/soil,1040
1.75E+12,sensor/soil,1040
1.75E+12,sensor/soil,1040
1.75E+12,sensor/soil,988
1.75E+12,sensor/soil,1023
1.75E+12,sensor/soil,1073
1.75E+12,sensor/soil,939
1.75E+12,sensor/soil,591
1.75E+12,sensor/soil,1023
1.75E+12,sensor/soil,1010
1.75E+12,sensor/soil,1057
1.75E+12,sensor/soil,1035
1.75E+12,sensor/soil,1392
1.75E+12,sensor/soil,1049
1.75E+12,sensor/soil,1042
1.75E+12,sensor/soil,818
1.75E+12,sensor/soil,1067
1.75E+12,sensor/soil,1006
1.75E+12,sensor/soil,1074
1.75E+12,sensor/soil,1077
1.75E+12,sensor/soil,1070
1.75E+12,sensor/soil,1055
1.75E+12,sensor/soil,1011
1.75E+12,sensor/soil,1113
1.75E+12,sensor/soil,1055
1.75E+12,sensor/soil,1075
1.75E+12,sensor/soil,1008
1.75E+12,sensor/soil,1047
1.75E+12,sensor/soil,1091
1.75E+12,sensor/soil,1031
1.75E+12,sensor/soil,1057
1.75E+12,sensor/soil,1098
1.75E+12,sensor/soil,1092
1.75E+12,sensor/soil,1083
1.75E+12,sensor/soil,1136
1.75E+12,sensor/soil,1072
1.75E+12,sensor/soil,1077
1.75E+12,sensor/soil,1068
1.75E+12,sensor/soil,914
1.75E+12,sensor/soil,1040
1.75E+12,sensor/soil,1023
1.75E+12,sensor/soil,1093
1.75E+12,sensor/soil,1088
1.75E+12,sensor/soil,1055
1.75E+12,sensor/soil,1139
1.75E+12,sensor/soil,1134
1.75E+12,sensor/soil,1095
1.75E+12,sensor/soil,1511
1.75E+12,sensor/soil,1103
1.75E+12,sensor/soil,1133
1.75E+12,sensor/soil,1127
1.75E+12,sensor/soil,1057
1.75E+12,sensor/soil,1114
1.75E+12,sensor/soil,963
1.75E+12,sensor/soil,1021
1.75E+12,sensor/soil,1055
1.75E+12,sensor/soil,1040
1.75E+12,sensor/soil,1072
1.75E+12,sensor/soil,475
1.75E+12,sensor/soil,1126
1.75E+12,sensor/soil,1097
1.75E+12,sensor/soil,0
1.75E+12,sensor/soil,1151
1.75E+12,sensor/soil,1116
1.75E+12,sensor/soil,1062
1.75E+12,sensor/soil,1103
1.75E+12,sensor/soil,1012
1.75E+12,sensor/soil,1151
1.75E+12,sensor/soil,1124
1.75E+12,sensor/soil,1088
1.75E+12,sensor/soil,1104
1.75E+12,sensor/soil,1091
1.75E+12,sensor/soil,1856
1.75E+12,sensor/soil,1120
1.75E+12,sensor/soil,1136
1.75E+12,sensor/soil,1162
1.75E+12,sensor/soil,1191
1.75E+12,sensor/soil,1099
1.75E+12,sensor/soil,1091
1.75E+12,sensor/soil,1073
1.75E+12,sensor/soil,1086
1.75E+12,sensor/soil,1055
1.75E+12,sensor/soil,1126
1.75E+12,sensor/soil,1042
1.75E+12,sensor/soil,1004
1.75E+12,sensor/soil,1115
1.75E+12,sensor/soil,1085
1.75E+12,sensor/soil,1090
1.75E+12,sensor/soil,1095
1.75E+12,sensor/soil,1182
1.75E+12,sensor/soil,1062
1.75E+12,sensor/soil,1149
1.75E+12,sensor/soil,1152
1.75E+12,sensor/soil,1118
1.75E+12,sensor/soil,1115
1.75E+12,sensor/soil,1133
1.75E+12,sensor/soil,1136
1.75E+12,sensor/soil,1116
1.75E+12,sensor/soil,1135
1.75E+12,sensor/soil,1189
1.75E+12,sensor/soil,1095
1.75E+12,sensor/soil,1047
1.75E+12,sensor/soil,1104
1.75E+12,sensor/soil,1128
1.75E+12,sensor/soil,944
1.75E+12,sensor/soil,1138
1.75E+12,sensor/soil,1111
1.75E+12,sensor/soil,1227
1.75E+12,sensor/soil,1149
1.75E+12,sensor/soil,1148
1.75E+12,sensor/soil,1126
1.75E+12,sensor/soil,1131
1.75E+12,sensor/soil,1232
1.75E+12,sensor/soil,1040
1.75E+12,sensor/soil,1140
1.75E+12,sensor/soil,1123
1.75E+12,sensor/soil,1159
1.75E+12,sensor/soil,1142
1.75E+12,sensor/soil,1159
1.75E+12,sensor/soil,1052
1.75E+12,sensor/soil,1134
1.75E+12,sensor/soil,1130
1.75E+12,sensor/soil,1087
1.75E+12,sensor/soil,1223
1.75E+12,sensor/soil,1120
1.75E+12,sensor/soil,1107
1.75E+12,sensor/soil,1145
1.75E+12,sensor/soil,1136
1.75E+12,sensor/soil,1136
1.75E+12,sensor/soil,1141
1.75E+12,sensor/soil,1123
1.75E+12,sensor/soil,1169
1.75E+12,sensor/soil,1159
1.75E+12,sensor/soil,1168
1.75E+12,sensor/soil,1600
1.75E+12,sensor/soil,787
1.75E+12,sensor/soil,1217
1.75E+12,sensor/soil,1239
1.75E+12,sensor/soil,1168
1.75E+12,sensor/soil,1190
1.75E+12,sensor/soil,1182
1.75E+12,sensor/soil,1208
1.75E+12,sensor/soil,1203
1.75E+12,sensor/soil,1217
1.75E+12,sensor/soil,1387
1.75E+12,sensor/soil,0
1.75E+12,sensor/soil,1503
1.75E+12,sensor/soil,1206
1.75E+12,sensor/soil,1122
1.75E+12,sensor/soil,1110
1.75E+12,sensor/soil,1182
1.75E+12,sensor/soil,1157
1.75E+12,sensor/soil,1189
1.75E+12,sensor/soil,1203
1.75E+12,sensor/soil,1192
1.75E+12,sensor/soil,1070
1.75E+12,sensor/soil,1168
1.75E+12,sensor/soil,1098
1.75E+12,sensor/soil,1089
1.75E+12,sensor/soil,1127
1.75E+12,sensor/soil,1166
1.75E+12,sensor/soil,1171
1.75E+12,sensor/soil,1072
1.75E+12,sensor/soil,1153
1.75E+12,sensor/soil,1128
1.75E+12,sensor/soil,1155
1.75E+12,sensor/soil,1146
1.75E+12,sensor/soil,1158
1.75E+12,sensor/soil,1169
1.75E+12,sensor/soil,1206
1.75E+12,sensor/soil,1230
1.75E+12,sensor/soil,1221
1.75E+12,sensor/soil,1135
1.75E+12,sensor/soil,1592
1.75E+12,sensor/soil,1168
1.75E+12,sensor/soil,1173
1.75E+12,sensor/soil,1147
1.75E+12,sensor/soil,1169
1.75E+12,sensor/soil,1168
1.75E+12,sensor/soil,1144
1.75E+12,sensor/soil,1168
1.75E+12,sensor/soil,1163
1.75E+12,sensor/soil,1184
1.75E+12,sensor/soil,1168
1.75E+12,sensor/soil,1218
1.75E+12,sensor/soil,1131
1.75E+12,sensor/soil,1107
1.75E+12,sensor/soil,1133
1.75E+12,sensor/soil,1150
1.75E+12,sensor/soil,1128
1.75E+12,sensor/soil,1143
1.75E+12,sensor/soil,1166
1.75E+12,sensor/soil,1168
1.75E+12,sensor/soil,1167
1.75E+12,sensor/soil,1169
1.75E+12,sensor/soil,863
1.75E+12,sensor/soil,1173
1.75E+12,sensor/soil,1323
1.75E+12,sensor/soil,1123
1.75E+12,sensor/soil,1126
1.75E+12,sensor/soil,1072
1.75E+12,sensor/soil,1218
1.75E+12,sensor/soil,1184
1.75E+12,sensor/soil,1185
1.75E+12,sensor/soil,1168
1.75E+12,sensor/soil,1172
1.75E+12,sensor/soil,1155
1.75E+12,sensor/soil,1130
1.75E+12,sensor/soil,1094
1.75E+12,sensor/soil,1124
1.75E+12,sensor/soil,1175
1.75E+12,sensor/soil,1132
1.75E+12,sensor/soil,1162
1.75E+12,sensor/soil,1155
1.75E+12,sensor/soil,1172
1.75E+12,sensor/soil,1185
1.75E+12,sensor/soil,1190
1.75E+12,sensor/soil,1163
1.75E+12,sensor/soil,1217
1.75E+12,sensor/soil,1178
1.75E+12,sensor/soil,1200
1.75E+12,sensor/soil,1152
1.75E+12,sensor/soil,1217
1.75E+12,sensor/soil,1218
1.75E+12,sensor/soil,1206
1.75E+12,sensor/soil,1194
1.75E+12,sensor/soil,1072
1.75E+12,sensor/soil,1079
1.75E+12,sensor/soil,1122
1.75E+12,sensor/soil,1158
1.75E+12,sensor/soil,1253
1.75E+12,sensor/soil,1169
1.75E+12,sensor/soil,1194
1.75E+12,sensor/soil,1363
1.75E+12,sensor/soil,1164
1.75E+12,sensor/soil,1215
1.75E+12,sensor/soil,1220
1.75E+12,sensor/soil,1182
1.75E+12,sensor/soil,1227
1.75E+12,sensor/soil,1222
1.75E+12,sensor/soil,1211
1.75E+12,sensor/soil,1215
1.75E+12,sensor/soil,1123
1.75E+12,sensor/soil,1185
1.75E+12,sensor/soil,1142
1.75E+12,sensor/soil,1984
1.75E+12,sensor/soil,1231
1.75E+12,sensor/soil,1202
1.75E+12,sensor/soil,1283
1.75E+12,sensor/soil,1196
1.75E+12,sensor/soil,1213
1.75E+12,sensor/soil,1247
1.75E+12,sensor/soil,1247
1.75E+12,sensor/soil,1205
1.75E+12,sensor/soil,1200
1.75E+12,sensor/soil,1242
1.75E+12,sensor/soil,978
1.75E+12,sensor/soil,1164
1.75E+12,sensor/soil,1093
1.75E+12,sensor/soil,1133
1.75E+12,sensor/soil,1191
1.75E+12,sensor/soil,1189
1.75E+12,sensor/soil,1180
1.75E+12,sensor/soil,1198
1.75E+12,sensor/soil,1259
1.75E+12,sensor/soil,1215
1.75E+12,sensor/soil,1936
1.75E+12,sensor/soil,1222
1.75E+12,sensor/soil,1206
1.75E+12,sensor/soil,1207
1.75E+12,sensor/soil,1196
1.75E+12,sensor/soil,1182
1.75E+12,sensor/soil,1198
1.75E+12,sensor/soil,1314
1.75E+12,sensor/soil,1263
1.75E+12,sensor/soil,1216
1.75E+12,sensor/soil,1194
1.75E+12,sensor/soil,1226
1.75E+12,sensor/soil,1199
